souid,lat_dec,lon_dec,time,value
3222,58.817583,5.924307,2017-06-07T1210,0
3225,70.662385,23.676665,2017-06-07T1210,0
3226,59.60275,9.73271,2017-06-07T1210,0.71
3229,58.963493,5.739432,2017-06-07T1210,0.1
3236,59.798098,5.713135,2017-06-07T1210,0.1
3241,59.339133,6.225205,2017-06-07T1210,0
3252,68.095944,16.375468,2017-06-07T1210,0
3253,58.937693,9.594352,2017-06-07T1210,0.3
3254,59.881087,10.506868,2017-06-07T1210,0.2
3256,60.383981,5.297405,2017-06-07T1210,0
3257,61.185651,10.350307,2017-06-07T1210,0
3262,59.25611,10.365188,2017-06-07T1210,0.3
3264,59.650945,10.831906,2017-06-07T1210,0.1
3266,59.277173,11.06456,2017-06-07T1210,0
3268,62.482266,6.787756,2017-06-07T1210,0
3282,59.916698,10.6167,2017-06-07T1210,0.1
3285,60.16052,11.18605,2017-06-07T1210,0.2
3292,58.908183,5.668088,2017-06-07T1210,0
3294,58.246774,6.838767,2017-06-07T1210,0
3310,59.760022,9.896431,2017-06-07T1210,0.5
3313,59.158205,8.457243,2017-06-07T1210,0.71
3315,58.84334,5.770059,2017-06-07T1210,0
3321,59.120454,5.611402,2017-06-07T1210,0.1
3329,58.854072,5.757147,2017-06-07T1210,0
3330,61.275893,10.01118,2017-06-07T1210,0
3332,59.906246,11.100959,2017-06-07T1210,0
3334,59.735608,10.765022,2017-06-07T1210,0.2
3338,62.207192,6.085897,2017-06-07T1210,0
3342,60.385638,5.328608,2017-06-07T1210,0
3346,62.461698,6.300306,2017-06-07T1210,0
3350,58.073429,7.006398,2017-06-07T1210,0
3353,59.432098,5.6137,2017-06-07T1210,0
3354,58.910357,11.522008,2017-06-07T1210,0.2
3358,62.97017,7.157289,2017-06-07T1210,0
3361,59.23386,10.43488,2017-06-07T1210,0.2
3365,58.886387,5.658238,2017-06-07T1210,0
3369,59.099289,10.305914,2017-06-07T1210,0.1
3370,60.376133,5.111794,2017-06-07T1210,0
3373,60.342167,10.456944,2017-06-07T1210,0.71
3402,59.264123,5.209036,2017-06-07T1210,0.1
3405,60.342663,5.38089,2017-06-07T1210,0
3413,59.11461,10.234563,2017-06-07T1210,0.1
3415,59.927137,10.727803,2017-06-07T1210,0.2
3417,59.791265,9.910415,2017-06-07T1210,0.2
3421,66.353107,14.419093,2017-06-07T1210,0
3423,60.387142,5.455683,2017-06-07T1210,0
3426,60.744447,5.159701,2017-06-07T1210,0
3433,58.129109,8.074504,2017-06-07T1210,0
3437,60.048511,5.220466,2017-06-07T1210,0.1
3452,58.126989,7.055161,2017-06-07T1210,0
3456,59.424343,11.008598,2017-06-07T1210,0.3
3459,61.25738,7.133989,2017-06-07T1210,0
3465,60.189182,10.196319,2017-06-07T1210,0.2
3466,59.311216,11.155839,2017-06-07T1210,0.1
3468,60.375009,5.337965,2017-06-07T1210,0
3472,59.011919,11.016134,2017-06-07T1210,0.1
3476,58.866006,5.795633,2017-06-07T1210,0.1
3478,59.123987,8.513013,2017-06-07T1210,0.51
3486,62.465589,6.653951,2017-06-07T1210,0
3508,58.946355,5.682884,2017-06-07T1210,0
3514,58.983043,5.747517,2017-06-07T1210,0.1
3521,63.17665,8.314902,2017-06-07T1210,0
3522,59.669765,9.662145,2017-06-07T1210,1.11
3523,59.146313,10.183574,2017-06-07T1210,0.2
3526,59.680141,11.064142,2017-06-07T1210,0.2
3528,59.873679,10.252606,2017-06-07T1210,0.1
3529,58.47374,8.445108,2017-06-07T1210,0.1
3530,62.158768,10.201099,2017-06-07T1210,0
3535,63.094874,7.884044,2017-06-07T1210,0
3538,62.656271,8.637029,2017-06-07T1210,0
3540,59.156909,10.218911,2017-06-07T1210,0.1
3542,58.246538,8.044851,2017-06-07T1210,0
3554,61.081076,11.349041,2017-06-07T1210,0
3557,66.208544,13.055712,2017-06-07T1210,0
3566,58.502073,8.866095,2017-06-07T1210,0.1
3569,63.813172,9.709508,2017-06-07T1210,0
3581,58.771582,5.87935,2017-06-07T1210,0
3585,59.200001,9.6,2017-06-07T1210,0.2
3588,59.049938,10.085577,2017-06-07T1210,0.1
3600,59.563453,10.266619,2017-06-07T1210,0.3
3601,60.718887,10.595652,2017-06-07T1210,0.2
3602,63.534882,10.821783,2017-06-07T1210,0
3604,59.08487,5.998746,2017-06-07T1210,0
3606,60.528023,5.144515,2017-06-07T1210,0
3618,60.461223,5.343099,2017-06-07T1210,0
3620,62.749493,7.219696,2017-06-07T1210,0
3622,59.858987,10.789593,2017-06-07T1210,0
3633,62.280703,5.817876,2017-06-07T1210,0
3642,59.804074,10.266657,2017-06-07T1210,0.1
3645,58.857434,5.7433,2017-06-07T1210,0
3649,58.665934,6.717788,2017-06-07T1210,0.2
3651,61.721924,10.824515,2017-06-07T1210,0
3661,58.82016,9.384432,2017-06-07T1210,0.2
3664,59.273081,11.05799,2017-06-07T1210,0.1
3673,58.820582,5.712633,2017-06-07T1210,0
3686,63.70517,11.199994,2017-06-07T1210,0
3688,62.598413,9.678615,2017-06-07T1210,0
3691,63.771748,9.687755,2017-06-07T1210,0
3693,58.777954,5.676002,2017-06-07T1210,0
3697,58.994128,5.732437,2017-06-07T1210,0.1
3699,59.718574,10.163682,2017-06-07T1210,0.3
3700,63.712826,11.338835,2017-06-07T1210,0
